id,name,symbol,rank,price,day_volume,market_cap,p_day_vol,available_supply,total_supply,p_tot_supply,max_supply,p_max_supply,p_change_hour,p_change_day,p_change_week,last_updated,load_date
ethos,Ethos,ETHOS,62,3.20238,1118590.0,243301340.0,0.00459754968879,75975162.0,222295208.0,0.341775977465,1.0,0,0.0067,-0.0167,-0.2444,2018-03-14 10:34:12,2018-03-14 10:38:41
gas,Gas,GAS,63,24.2723,2982910.0,240379284.0,0.0124091808178,9903441.0,16137032.0,0.613708952179,100000000.0,0.09903441,-0.002,-0.0173,-0.2476,2018-03-14 10:34:12,2018-03-14 10:38:41
factom,Factom,FCT,64,27.3287,1570430.0,238992269.0,0.00657104937566,8745102.0,8745102.0,1.0,1.0,0,-0.0004,0.0257,-0.1245,2018-03-14 10:34:06,2018-03-14 10:38:41
qash,QASH,QASH,65,0.656589,3720600.0,229806150.0,0.0161901672344,350000000.0,1000000000.0,0.35,1.0,0,-0.0054,0.0013,-0.1496,2018-03-14 10:34:17,2018-03-14 10:38:41
revain,Revain,R,66,1.21101,5627390.0,223370795.0,0.0251930428058,184450000.0,484450000.0,0.380741046548,484450000.0,0.380741046548,-0.0047,0.0989,-0.0492,2018-03-14 10:34:16,2018-03-14 10:38:41
nebulas-token,Nebulas,NAS,67,6.09092,8064730.0,216227660.0,0.0372974021917,35500000.0,100000000.0,0.355,100000000.0,0.355,-0.0095,-0.0063,-0.1281,2018-03-14 10:34:13,2018-03-14 10:38:41
funfair,FunFair,FUN,68,0.0455603,1015500.0,209808584.0,0.00484012608369,4605074689.0,10999873621.0,0.418647963392,1.0,0,0.0034,0.0019,-0.1708,2018-03-14 10:34:12,2018-03-14 10:38:41
chainlink,ChainLink,LINK,69,0.56675,4674440.0,198362500.0,0.0235651395803,350000000.0,1000000000.0,0.35,1.0,0,-0.015,0.0914,0.0386,2018-03-14 10:34:14,2018-03-14 10:38:41
loopring,Loopring,LRC,70,0.33941,2758500.0,194167651.0,0.014206794931,572074043.0,1374956262.0,0.416067084322,1.0,0,-0.0032,-0.029,-0.2716,2018-03-14 10:34:14,2018-03-14 10:38:41
reddcoin,ReddCoin,RDD,71,0.00670614,5586090.0,192963490.0,0.0289489478035,28774151777.0,28774151777.0,1.0,1.0,0,-0.0003,0.0566,-0.1467,2018-03-14 10:34:02,2018-03-14 10:38:41
kin,Kin,KIN,72,0.000244624,334284.0,184959610.0,0.00180733512576,7.56097560976e+11,1e+13,0.0756097560976,1.0,0,0.1142,0.063,-0.1208,2018-03-14 10:34:14,2018-03-14 10:38:41
iostoken,IOStoken,IOST,73,0.0216943,28283600.0,182232120.0,0.155206447689,8400000000.0,21000000000.0,0.4,1.0,0,0.0244,0.1149,-0.2972,2018-03-14 10:34:19,2018-03-14 10:38:41
gxchain,GXChain,GXS,74,3.03008,6509960.0,181804800.0,0.0358074154258,60000000.0,100000000.0,0.6,100000000.0,0.6,0.0122,0.0442,-0.1458,2018-03-14 10:34:11,2018-03-14 10:38:41
aelf,aelf,ELF,75,0.723671,23163000.0,180917750.0,0.128030555321,250000000.0,280000000.0,0.892857142857,1000000000.0,0.25,-0.003,-0.0282,-0.3394,2018-03-14 10:34:18,2018-03-14 10:38:41
salt,SALT,SALT,76,3.2303,3990810.0,180106792.0,0.0221580205593,55755438.0,120000000.0,0.46462865,1.0,0,0.0177,0.0809,-0.162,2018-03-14 10:34:15,2018-03-14 10:38:41
zcoin,ZCoin,XZC,77,41.8195,998123.0,179822628.0,0.00555059733639,4299971.0,4299971.0,1.0,21400000.0,0.200933224299,-0.0099,0.0155,-0.1592,2018-03-14 10:34:08,2018-03-14 10:38:41
kyber-network,Kyber Network,KNC,78,1.33517,7254350.0,179089953.0,0.0405067390911,134132697.0,215625349.0,0.622063674898,1.0,0,0.0175,0.0643,-0.2516,2018-03-14 10:34:14,2018-03-14 10:38:41
power-ledger,Power Ledger,POWR,79,0.491949,13142400.0,179036449.0,0.0734062816449,363932947.0,1000000000.0,0.363932947,1.0,0,-0.0132,0.1206,-0.0532,2018-03-14 10:34:16,2018-03-14 10:38:41
dentacoin,Dentacoin,DCN,80,0.000530129,81649.6,172412059.0,0.000473572443097,3.25226613094e+11,1.96317341617e+12,0.165663721002,8e+12,0.0406533266368,0.0246,0.0034,-0.0959,2018-03-14 10:34:13,2018-03-14 10:38:41
polymath-network,Polymath,POLY,81,0.687605,374464.0,165025028.0,0.00226913459454,239999750.0,1000000000.0,0.23999975,1.0,0,0.0041,0.0496,-0.123,2018-03-14 10:34:20,2018-03-14 10:38:41
smartcash,SmartCash,SMART,82,0.207198,143960.0,163691533.0,0.000879459049357,790024676.0,1391068955.0,0.567926322531,5000000000.0,0.1580049352,-0.0139,0.0209,-0.047,2018-03-14 10:34:12,2018-03-14 10:38:41
nxt,Nxt,NXT,83,0.162586,3447690.0,162423404.0,0.0212265591971,998999942.0,998999942.0,1.0,1000000000.0,0.998999942,-0.0084,0.0547,-0.1098,2018-03-14 10:34:01,2018-03-14 10:38:41
byteball,Byteball Bytes,GBYTE,84,244.844,896756.0,157978748.0,0.00567643440243,645222.0,1000000.0,0.645222,1.0,0,-0.029,-0.0581,-0.4117,2018-03-14 10:34:09,2018-03-14 10:38:41
particl,Particl,PART,85,17.3866,558136.0,154725625.0,0.00360726285643,8899131.0,8899131.0,1.0,1.0,0,-0.008,-0.0794,-0.4078,2018-03-14 10:34:12,2018-03-14 10:38:41
bancor,Bancor,BNT,86,3.82386,4717980.0,153895615.0,0.0306570138467,40246143.0,74143894.0,0.542811293402,1.0,0,0.0022,-0.005,-0.1819,2018-03-14 10:34:11,2018-03-14 10:38:41
emercoin,Emercoin,EMC,87,3.67532,617660.0,152445293.0,0.00405168298637,41478101.0,41478101.0,1.0,1.0,0,0.0078,-0.0038,-0.0542,2018-03-14 10:34:04,2018-03-14 10:38:41
dent,Dent,DENT,88,0.0143129,742883.0,151928012.0,0.00488970394742,10614760961.0,1e+11,0.10614760961,1.0,0,-0.0017,-0.0291,-0.2473,2018-03-14 10:34:13,2018-03-14 10:38:41
